City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
471,Cockburn Town,TC,78.51,overcast clouds,21.4612,-71.1419,Osprey Beach Hotel
474,Aktau,KZ,79.38,light rain,43.65,51.2,Silk Way Hotel
475,Mandera,KE,82.42,broken clouds,3.9366,41.867,Red Sea Resort & Suites Mandera County
478,Laguna,US,92.08,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
480,Oistins,BB,84.51,few clouds,13.0667,-59.5333,Butterfly Beach Hotel
484,The Valley,AI,86.14,few clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
490,Aguimes,ES,77.67,few clouds,27.9054,-15.4461,Hotel Villa de Aguimes
492,Inirida,CO,85.03,broken clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
494,Mut,TR,82.72,clear sky,36.6439,33.4389,Konak Otel
496,Corning,US,90.57,scattered clouds,42.1428,-77.0547,Fairfield Inn by Marriott Corning Riverside
499,Faanui,PF,77.74,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
500,Oxnard,US,89.24,scattered clouds,34.1975,-119.177,Homewood Suites by Hilton Oxnard/Camarillo
501,Ohangaron,UZ,86.14,clear sky,40.9064,69.6383,"Hotel "" Ahangaran"""
502,Dongli,CN,81.82,clear sky,23.5656,116.8194,Chenghai Shizhang Donghuaqiao Hostel
503,Cassilandia,BR,88.7,few clouds,-19.1133,-51.7342,Delirius Motel
505,Buin,CL,76.42,clear sky,-33.7333,-70.75,Paihuen
507,Duartina,BR,84.04,scattered clouds,-22.4144,-49.4039,Hotel Mattos Guimaro
511,Wyszkow,PL,87.15,scattered clouds,52.5928,21.4584,PPUH Bias Sp. z. o. o.
512,Oyama,JP,83.59,broken clouds,36.3,139.8,Toyoko Inn Oyama-eki Higashi-guchi No.1
514,Marsa Matruh,EG,78.76,clear sky,31.3525,27.2453,Beau Site
516,Tura,IN,75.83,overcast clouds,25.5198,90.2201,Hotel RIKMAN Continental
519,La Palma,US,87.19,clear sky,33.8464,-118.0467,La Quinta Inn & Suites by Wyndham Buena Park
520,Uige,AO,78.15,overcast clouds,-7.6087,15.0613,Hotel Catraio
522,Tezu,IN,77.5,overcast clouds,27.9167,96.1667,Circuit House
523,Marquette,US,80.04,clear sky,46.5333,-87.6335,Al Quaal Lodge
525,Zhezkazgan,KZ,77.16,scattered clouds,47.8043,67.7144,Hotel Zumrat
527,Hami,CN,82.15,clear sky,42.8,93.45,Laoyutang Resort
535,Totness,SR,83.34,few clouds,5.8833,-56.3167,STAATS LOGEERGEBOUW TOTNESS
